time,signal
12.0,-435
12.00833,-430
12.01667,-426
12.025,-421
12.03333,-417
12.04167,-413
12.05,-408
12.05833,-403
12.06667,-399
12.075,-394
12.08333,-390
12.09167,-385
12.1,-381
12.10833,-376
12.11667,-371
12.125,-367
12.13333,-362
12.14167,-358
12.15,-353
12.15833,-348
12.16667,-343
12.175,-339
12.18333,-334
12.19167,-330
12.2,-325
12.20833,-321
12.21667,-316
12.225,-312
12.23333,-308
12.24167,-303
12.25,-299
12.25833,-294
12.26667,-289
12.275,-285
12.28333,-281
12.29167,-276
12.3,-272
12.30833,-267
12.31667,-263
12.325,-258
12.33333,-254
12.34167,-249
12.35,-244
12.35833,-240
12.36667,-235
12.375,-230
12.38333,-226
12.39167,-222
12.4,-217
12.40833,-212
12.41667,-208
12.425,-203
12.43333,-199
12.44167,-194
12.45,-190
12.45833,-185
12.46667,-181
12.475,-176
12.48333,-171
12.49167,-165
12.5,-160
12.50833,-155
12.51667,-149
12.525,-143
12.53333,-136
12.54167,-130
12.55,-123
12.55833,-115
12.56667,-107
12.575,-97
12.58333,-86
12.59167,-75
12.6,-62
12.60833,-48
12.61667,-32
12.625,-14
12.63333,7
12.64167,29
12.65,54
12.65833,82
12.66667,112
12.675,146
12.68333,183
12.69167,223
12.7,267
12.70833,315
12.71667,367
12.725,422
12.73333,482
12.74167,546
12.75,614
12.75833,687
12.76667,764
12.775,846
12.78333,932
12.79167,1023
12.8,1119
12.80833,1219
12.81667,1323
12.825,1433
12.83333,1547
12.84167,1666
12.85,1790
12.85833,1918
12.86667,2051
12.875,2190
12.88333,2332
12.89167,2480
12.9,2633
12.90833,2790
12.91667,2952
12.925,3119
12.93333,3290
12.94167,3466
12.95,3647
12.95833,3833
12.96667,4023
12.975,4217
12.98333,4416
12.99167,4619
13.0,4827
13.00833,5040
13.01667,5256
13.025,5477
13.03333,5702
13.04167,5931
13.05,6164
13.05833,6402
13.06667,6643
13.075,6889
13.08333,7138
13.09167,7392
13.1,7649
13.10833,7910
13.11667,8175
13.125,8444
13.13333,8716
13.14167,8992
13.15,9271
13.15833,9554
13.16667,9841
13.175,10131
13.18333,10424
13.19167,10720
13.2,11020
13.20833,11324
13.21667,11632
13.225,11942
13.23333,12256
13.24167,12573
13.25,12893
13.25833,13216
13.26667,13542
13.275,13871
13.28333,14204
13.29167,14540
13.3,14879
13.30833,15221
13.31667,15567
13.325,15915
13.33333,16267
13.34167,16621
13.35,16979
13.35833,17340
13.36667,17704
13.375,18072
13.38333,18443
13.39167,18816
13.4,19193
13.40833,19574
13.41667,19957
13.425,20344
13.43333,20735
13.44167,21128
13.45,21525
13.45833,21925
13.46667,22328
13.475,22735
13.48333,23144
13.49167,23558
13.5,23974
13.50833,24395
13.51667,24819
13.525,25246
13.53333,25677
13.54167,26112
13.55,26549
13.55833,26991
13.56667,27436
13.575,27885
13.58333,28338
13.59167,28795
13.6,29255
13.60833,29719
13.61667,30187
13.625,30659
13.63333,31135
13.64167,31614
13.65,32097
13.65833,32585
13.66667,33077
13.675,33573
13.68333,34073
13.69167,34577
13.7,35086
13.70833,35598
13.71667,36115
13.725,36636
13.73333,37162
13.74167,37692
13.75,38226
13.75833,38765
13.76667,39309
13.775,39857
13.78333,40410
13.79167,40968
13.8,41530
13.80833,42098
13.81667,42670
13.825,43247
13.83333,43829
13.84167,44417
13.85,45009
13.85833,45607
13.86667,46210
13.875,46818
13.88333,47432
13.89167,48051
13.9,48676
13.90833,49305
13.91667,49941
13.925,50582
13.93333,51229
13.94167,51882
13.95,52540
13.95833,53205
13.96667,53875
13.975,54551
13.98333,55233
13.99167,55922
14.0,56617
14.00833,57318
14.01667,58026
14.025,58740
14.03333,59461
14.04167,60188
14.05,60922
14.05833,61663
14.06667,62411
14.075,63166
14.08333,63928
14.09167,64697
14.1,65474
14.10833,66257
14.11667,67047
14.125,67842
14.13333,68642
14.14167,69445
14.15,70249
14.15833,71049
14.16667,71840
14.175,72618
14.18333,73373
14.19167,74098
14.2,74783
14.20833,75418
14.21667,75993
14.225,76496
14.23333,76919
14.24167,77252
14.25,77488
14.25833,77620
14.26667,77643
14.275,77554
14.28333,77351
14.29167,77034
14.3,76603
14.30833,76058
14.31667,75401
14.325,74634
14.33333,73759
14.34167,72775
14.35,71684
14.35833,70486
14.36667,69179
14.375,67763
14.38333,66236
14.39167,64598
14.4,62847
14.40833,60985
14.41667,59012
14.425,56931
14.43333,54749
14.44167,52471
14.45,50109
14.45833,47675
14.46667,45183
14.475,42649
14.48333,40093
14.49167,37534
14.5,34991
14.50833,32485
14.51667,30036
14.525,27661
14.53333,25376
14.54167,23196
14.55,21132
14.55833,19192
14.56667,17382
14.575,15704
14.58333,14159
14.59167,12744
14.6,11457
14.60833,10291
14.61667,9241
14.625,8298
14.63333,7455
14.64167,6703
14.65,6035
14.65833,5442
14.66667,4917
14.675,4454
14.68333,4045
14.69167,3684
14.7,3366
14.70833,3085
14.71667,2836
