time,signal
12.0,695
12.00833,694
12.01667,693
12.025,693
12.03333,693
12.04167,693
12.05,693
12.05833,692
12.06667,692
12.075,691
12.08333,691
12.09167,690
12.1,690
12.10833,690
12.11667,690
12.125,689
12.13333,688
12.14167,688
12.15,687
12.15833,687
12.16667,687
12.175,686
12.18333,686
12.19167,686
12.2,685
12.20833,685
12.21667,684
12.225,684
12.23333,683
12.24167,683
12.25,683
12.25833,683
12.26667,683
12.275,682
12.28333,682
12.29167,682
12.3,681
12.30833,681
12.31667,680
12.325,680
12.33333,680
12.34167,680
12.35,680
12.35833,680
12.36667,680
12.375,680
12.38333,680
12.39167,680
12.4,679
12.40833,679
12.41667,678
12.425,678
12.43333,678
12.44167,678
12.45,678
12.45833,678
12.46667,678
12.475,678
12.48333,678
12.49167,678
12.5,678
12.50833,678
12.51667,677
12.525,677
12.53333,676
12.54167,676
12.55,676
12.55833,677
12.56667,677
12.575,678
12.58333,679
12.59167,680
12.6,681
12.60833,683
12.61667,686
12.625,688
12.63333,692
12.64167,697
12.65,702
12.65833,708
12.66667,716
12.675,725
12.68333,736
12.69167,748
12.7,763
12.70833,780
12.71667,799
12.725,821
12.73333,847
12.74167,876
12.75,907
12.75833,943
12.76667,982
12.775,1025
12.78333,1072
12.79167,1123
12.8,1179
12.80833,1240
12.81667,1305
12.825,1376
12.83333,1451
12.84167,1531
12.85,1617
12.85833,1707
12.86667,1803
12.875,1905
12.88333,2012
12.89167,2125
12.9,2243
12.90833,2367
12.91667,2495
12.925,2630
12.93333,2770
12.94167,2915
12.95,3066
12.95833,3222
12.96667,3384
12.975,3551
12.98333,3723
12.99167,3900
13.0,4083
13.00833,4271
13.01667,4463
13.025,4661
13.03333,4863
13.04167,5070
13.05,5281
13.05833,5497
13.06667,5718
13.075,5943
13.08333,6172
13.09167,6405
13.1,6643
13.10833,6884
13.11667,7130
13.125,7379
13.13333,7632
13.14167,7889
13.15,8149
13.15833,8413
13.16667,8681
13.175,8952
13.18333,9226
13.19167,9504
13.2,9785
13.20833,10069
13.21667,10356
13.225,10646
13.23333,10939
13.24167,11235
13.25,11535
13.25833,11837
13.26667,12142
13.275,12451
13.28333,12762
13.29167,13076
13.3,13393
13.30833,13712
13.31667,14035
13.325,14360
13.33333,14689
13.34167,15019
13.35,15353
13.35833,15690
13.36667,16029
13.375,16372
13.38333,16717
13.39167,17064
13.4,17415
13.40833,17769
13.41667,18125
13.425,18484
13.43333,18846
13.44167,19211
13.45,19578
13.45833,19949
13.46667,20322
13.475,20699
13.48333,21078
13.49167,21460
13.5,21844
13.50833,22232
13.51667,22623
13.525,23017
13.53333,23414
13.54167,23814
13.55,24217
13.55833,24624
13.56667,25033
13.575,25445
13.58333,25860
13.59167,26279
13.6,26700
13.60833,27126
13.61667,27554
13.625,27986
13.63333,28421
13.64167,28860
13.65,29302
13.65833,29747
13.66667,30195
13.675,30647
13.68333,31102
13.69167,31562
13.7,32024
13.70833,32490
13.71667,32960
13.725,33433
13.73333,33911
13.74167,34392
13.75,34876
13.75833,35365
13.76667,35857
13.775,36353
13.78333,36853
13.79167,37357
13.8,37865
13.80833,38377
13.81667,38893
13.825,39413
13.83333,39937
13.84167,40465
13.85,40998
13.85833,41535
13.86667,42076
13.875,42621
13.88333,43171
13.89167,43724
13.9,44280
13.90833,44838
13.91667,45398
13.925,45955
13.93333,46508
13.94167,47052
13.95,47582
13.95833,48091
13.96667,48573
13.975,49018
13.98333,49418
13.99167,49764
14.0,50046
14.00833,50255
14.01667,50382
14.025,50421
14.03333,50363
14.04167,50204
14.05,49938
14.05833,49561
14.06667,49070
14.075,48464
14.08333,47741
14.09167,46899
14.1,45939
14.10833,44860
14.11667,43666
14.125,42358
14.13333,40943
14.14167,39425
14.15,37815
14.15833,36122
14.16667,34361
14.175,32545
14.18333,30691
14.19167,28816
14.2,26937
14.20833,25073
14.21667,23239
14.225,21453
14.23333,19727
14.24167,18075
14.25,16506
14.25833,15028
14.26667,13647
14.275,12366
14.28333,11186
14.29167,10105
14.3,9122
14.30833,8233
14.31667,7432
14.325,6714
14.33333,6073
14.34167,5502
14.35,4997
14.35833,4549
14.36667,4155
14.375,3807
14.38333,3500
14.39167,3231
14.4,2995
14.40833,2787
14.41667,2605
14.425,2444
14.43333,2302
14.44167,2177
14.45,2067
14.45833,1969
14.46667,1883
14.475,1805
14.48333,1737
14.49167,1675
14.5,1620
14.50833,1571
14.51667,1527
14.525,1487
14.53333,1450
14.54167,1417
14.55,1386
14.55833,1359
14.56667,1333
14.575,1310
14.58333,1288
14.59167,1268
14.6,1250
14.60833,1232
14.61667,1216
14.625,1201
14.63333,1187
14.64167,1174
14.65,1161
14.65833,1149
14.66667,1138
14.675,1127
14.68333,1118
14.69167,1108
14.7,1100
14.70833,1091
14.71667,1083
14.725,1075
14.73333,1068
14.74167,1061
14.75,1054
14.75833,1048
14.76667,1042
14.775,1036
14.78333,1031
14.79167,1025
14.8,1020
14.80833,1016
14.81667,1011
14.825,1007
14.83333,1002
14.84167,999
14.85,995
14.85833,991
14.86667,988
14.875,985
14.88333,982
14.89167,979
14.9,976
14.90833,973
14.91667,971
14.925,968
14.93333,966
14.94167,963
14.95,961
14.95833,959
14.96667,957
14.975,955
14.98333,953
14.99167,951
15.0,949
15.00833,948
15.01667,946
15.025,945
15.03333,943
15.04167,942
15.05,941
15.05833,940
15.06667,938
15.075,937
15.08333,936
15.09167,935
15.1,934
15.10833,933
15.11667,932
15.125,931
15.13333,930
15.14167,929
15.15,928
15.15833,927
15.16667,926
15.175,925
15.18333,924
15.19167,923
15.2,922
15.20833,921
15.21667,920
15.225,920
15.23333,919
15.24167,919
15.25,918
15.25833,917
15.26667,916
15.275,915
15.28333,914
15.29167,914
15.3,913
15.30833,912
15.31667,911
15.325,910
15.33333,909
15.34167,908
15.35,907
15.35833,907
15.36667,906
15.375,906
15.38333,905
15.39167,904
15.4,903
15.40833,901
15.41667,900
15.425,899
15.43333,898
15.44167,897
15.45,897
15.45833,895
15.46667,894
15.475,893
15.48333,893
15.49167,892
15.5,891
15.50833,890
15.51667,889
15.525,889
15.53333,888
15.54167,887
15.55,886
15.55833,885
15.56667,884
15.575,883
15.58333,881
15.59167,880
15.6,879
15.60833,878
15.61667,877
15.625,877
15.63333,876
15.64167,874
15.65,873
15.65833,872
15.66667,871
15.675,870
15.68333,869
15.69167,868
15.7,867
15.70833,866
15.71667,865
15.725,864
15.73333,863
15.74167,862
15.75,861
15.75833,860
15.76667,859
15.775,858
15.78333,857
15.79167,856
15.8,855
15.80833,854
15.81667,853
15.825,852
15.83333,851
15.84167,851
15.85,850
15.85833,849
15.86667,848
15.875,847
15.88333,847
15.89167,846
15.9,846
15.90833,845
15.91667,844
15.925,843
15.93333,843
15.94167,842
15.95,841
15.95833,840
15.96667,839
15.975,838
15.98333,838
15.99167,837
16.0,836
16.00833,835
16.01667,835
16.025,834
16.03333,834
16.04167,833
16.05,832
16.05833,832
16.06667,831
16.075,830
16.08333,830
16.09167,830
16.1,829
16.10833,828
16.11667,827
16.125,827
16.13333,826
16.14167,826
16.15,826
16.15833,826
16.16667,825
16.175,825
16.18333,825
16.19167,824
16.2,824
16.20833,823
16.21667,822
16.225,821
16.23333,821
16.24167,820
16.25,820
16.25833,820
16.26667,820
16.275,820
16.28333,820
16.29167,820
16.3,820
16.30833,819
16.31667,819
16.325,818
16.33333,818
16.34167,817
16.35,817
16.35833,816
16.36667,816
16.375,815
16.38333,815
16.39167,815
16.4,814
16.40833,814
16.41667,813
16.425,813
16.43333,812
16.44167,812
16.45,811
16.45833,811
16.46667,811
16.475,811
16.48333,810
16.49167,810
16.5,810
16.50833,810
16.51667,810
16.525,810
16.53333,810
16.54167,809
16.55,809
16.55833,808
16.56667,807
16.575,807
16.58333,806
16.59167,806
16.6,806
16.60833,805
16.61667,805
16.625,805
16.63333,805
16.64167,804
16.65,804
16.65833,804
16.66667,803
16.675,803
16.68333,802
16.69167,802
16.7,801
16.70833,801
16.71667,801
16.725,800
16.73333,800
16.74167,800
16.75,799
16.75833,799
16.76667,799
16.775,799
16.78333,799
16.79167,799
16.8,798
16.80833,798
16.81667,797
16.825,797
16.83333,796
16.84167,796
16.85,796
16.85833,796
16.86667,795
16.875,795
16.88333,795
16.89167,794
16.9,793
16.90833,793
16.91667,793
16.925,793
16.93333,792
16.94167,792
16.95,792
16.95833,792
16.96667,792
16.975,791
16.98333,791
16.99167,790
17.0,790
