time,signal
12.0,699
12.00833,698
12.01667,698
12.025,697
12.03333,697
12.04167,697
12.05,697
12.05833,697
12.06667,696
12.075,696
12.08333,695
12.09167,694
12.1,694
12.10833,694
12.11667,694
12.125,694
12.13333,693
12.14167,692
12.15,692
12.15833,691
12.16667,691
12.175,690
12.18333,690
12.19167,690
12.2,689
12.20833,689
12.21667,688
12.225,688
12.23333,687
12.24167,687
12.25,687
12.25833,687
12.26667,686
12.275,686
12.28333,686
12.29167,686
12.3,686
12.30833,685
12.31667,685
12.325,685
12.33333,684
12.34167,684
12.35,684
12.35833,684
12.36667,683
12.375,683
12.38333,683
12.39167,682
12.4,682
12.40833,682
12.41667,682
12.425,682
12.43333,682
12.44167,682
12.45,682
12.45833,682
12.46667,682
12.475,682
12.48333,682
12.49167,682
12.5,681
12.50833,681
12.51667,681
12.525,682
12.53333,682
12.54167,682
12.55,682
12.55833,683
12.56667,683
12.575,684
12.58333,684
12.59167,685
12.6,687
12.60833,689
12.61667,692
12.625,696
12.63333,700
12.64167,706
12.65,712
12.65833,719
12.66667,727
12.675,738
12.68333,750
12.69167,764
12.7,781
12.70833,799
12.71667,821
12.725,845
12.73333,872
12.74167,903
12.75,937
12.75833,975
12.76667,1016
12.775,1062
12.78333,1112
12.79167,1166
12.8,1224
12.80833,1287
12.81667,1354
12.825,1427
12.83333,1505
12.84167,1587
12.85,1675
12.85833,1768
12.86667,1866
12.875,1969
12.88333,2078
12.89167,2191
12.9,2310
12.90833,2434
12.91667,2564
12.925,2699
12.93333,2839
12.94167,2984
12.95,3135
12.95833,3291
12.96667,3452
12.975,3618
12.98333,3789
12.99167,3965
13.0,4146
13.00833,4332
13.01667,4523
13.025,4719
13.03333,4919
13.04167,5124
13.05,5333
13.05833,5547
13.06667,5765
13.075,5987
13.08333,6214
13.09167,6445
13.1,6680
13.10833,6919
13.11667,7163
13.125,7410
13.13333,7661
13.14167,7916
13.15,8176
13.15833,8438
13.16667,8704
13.175,8974
13.18333,9249
13.19167,9527
13.2,9809
13.20833,10095
13.21667,10385
13.225,10680
13.23333,10979
13.24167,11282
13.25,11590
13.25833,11903
13.26667,12222
13.275,12545
13.28333,12875
13.29167,13210
13.3,13550
13.30833,13897
13.31667,14251
13.325,14611
13.33333,14977
13.34167,15350
13.35,15732
13.35833,16120
13.36667,16516
13.375,16919
13.38333,17331
13.39167,17750
13.4,18177
13.40833,18612
13.41667,19054
13.425,19503
13.43333,19959
13.44167,20422
13.45,20892
13.45833,21368
13.46667,21850
13.475,22337
13.48333,22830
13.49167,23328
13.5,23830
13.50833,24336
13.51667,24845
13.525,25357
13.53333,25872
13.54167,26389
13.55,26906
13.55833,27425
13.56667,27943
13.575,28462
13.58333,28980
13.59167,29498
13.6,30014
13.60833,30529
13.61667,31042
13.625,31552
13.63333,32060
13.64167,32566
13.65,33069
13.65833,33569
13.66667,34065
13.675,34558
13.68333,35048
13.69167,35534
13.7,36017
13.70833,36496
13.71667,36973
13.725,37446
13.73333,37916
13.74167,38382
13.75,38846
13.75833,39307
13.76667,39765
13.775,40222
13.78333,40677
13.79167,41130
13.8,41581
13.80833,42031
13.81667,42481
13.825,42930
13.83333,43379
13.84167,43828
13.85,44279
13.85833,44730
13.86667,45183
13.875,45638
13.88333,46094
13.89167,46551
13.9,47008
13.90833,47463
13.91667,47914
13.925,48357
13.93333,48789
13.94167,49204
13.95,49594
13.95833,49953
13.96667,50273
13.975,50545
