time,signal
12.0,694
12.00833,694
12.01667,694
12.025,694
12.03333,693
12.04167,692
12.05,692
12.05833,691
12.06667,691
12.075,691
12.08333,691
12.09167,691
12.1,691
12.10833,690
12.11667,690
12.125,689
12.13333,689
12.14167,689
12.15,688
12.15833,688
12.16667,687
12.175,686
12.18333,686
12.19167,685
12.2,686
12.20833,686
12.21667,685
12.225,685
12.23333,684
12.24167,684
12.25,683
12.25833,683
12.26667,682
12.275,682
12.28333,682
12.29167,682
12.3,682
12.30833,681
12.31667,681
12.325,681
12.33333,681
12.34167,680
12.35,680
12.35833,679
12.36667,679
12.375,679
12.38333,678
12.39167,678
12.4,678
12.40833,679
12.41667,679
12.425,679
12.43333,679
12.44167,679
12.45,678
12.45833,678
12.46667,678
12.475,678
12.48333,677
12.49167,677
12.5,677
12.50833,677
12.51667,677
12.525,677
12.53333,677
12.54167,678
12.55,678
12.55833,679
12.56667,680
12.575,680
12.58333,681
12.59167,682
12.6,684
12.60833,686
12.61667,689
12.625,692
12.63333,697
12.64167,702
12.65,708
12.65833,715
12.66667,723
12.675,733
12.68333,746
12.69167,760
12.7,776
12.70833,795
12.71667,816
12.725,840
12.73333,867
12.74167,897
12.75,932
12.75833,969
12.76667,1011
12.775,1056
12.78333,1106
12.79167,1160
12.8,1218
12.80833,1281
12.81667,1348
12.825,1421
12.83333,1499
12.84167,1582
12.85,1670
12.85833,1763
12.86667,1862
12.875,1965
12.88333,2074
12.89167,2187
12.9,2307
12.90833,2431
12.91667,2561
12.925,2696
12.93333,2837
12.94167,2983
12.95,3134
12.95833,3291
12.96667,3453
12.975,3620
12.98333,3792
12.99167,3969
13.0,4151
13.00833,4338
13.01667,4529
13.025,4725
13.03333,4926
13.04167,5132
13.05,5342
13.05833,5557
13.06667,5776
13.075,6000
13.08333,6228
13.09167,6461
13.1,6697
13.10833,6938
13.11667,7182
13.125,7431
13.13333,7684
13.14167,7940
13.15,8200
13.15833,8464
13.16667,8732
13.175,9004
13.18333,9280
13.19167,9561
13.2,9846
13.20833,10134
13.21667,10427
13.225,10725
13.23333,11028
13.24167,11335
13.25,11648
13.25833,11967
13.26667,12291
13.275,12621
13.28333,12956
13.29167,13299
13.3,13648
13.30833,14005
13.31667,14369
13.325,14741
13.33333,15121
13.34167,15509
13.35,15906
13.35833,16312
13.36667,16727
13.375,17151
13.38333,17583
13.39167,18025
13.4,18476
13.40833,18936
13.41667,19406
13.425,19883
13.43333,20370
13.44167,20865
13.45,21368
13.45833,21878
13.46667,22395
13.475,22919
13.48333,23448
13.49167,23983
13.5,24523
13.50833,25067
13.51667,25614
13.525,26164
13.53333,26716
13.54167,27270
13.55,27824
13.55833,28378
13.56667,28932
13.575,29484
13.58333,30036
13.59167,30585
13.6,31130
13.60833,31674
13.61667,32213
13.625,32749
13.63333,33281
13.64167,33807
13.65,34329
13.65833,34846
13.66667,35358
13.675,35865
13.68333,36365
13.69167,36860
13.7,37349
13.70833,37833
13.71667,38311
13.725,38784
13.73333,39251
13.74167,39713
13.75,40169
13.75833,40622
13.76667,41070
13.775,41514
13.78333,41955
13.79167,42392
13.8,42826
13.80833,43258
13.81667,43687
13.825,44115
13.83333,44542
13.84167,44969
13.85,45395
13.85833,45821
13.86667,46249
13.875,46677
13.88333,47108
13.89167,47540
13.9,47973
13.90833,48407
13.91667,48841
13.925,49273
13.93333,49700
13.94167,50117
13.95,50520
13.95833,50902
13.96667,51257
13.975,51577
13.98333,51853
13.99167,52077
14.0,52238
14.00833,52330
14.01667,52344
14.025,52273
14.03333,52113
14.04167,51858
14.05,51504
14.05833,51048
14.06667,50487
14.075,49820
14.08333,49047
14.09167,48165
14.1,47175
14.10833,46078
14.11667,44874
14.125,43567
14.13333,42159
14.14167,40658
14.15,39069
14.15833,37403
14.16667,35670
14.175,33882
14.18333,32054
14.19167,30200
14.2,28337
14.20833,26481
14.21667,24646
14.225,22850
14.23333,21104
14.24167,19423
14.25,17816
14.25833,16293
14.26667,14858
14.275,13518
14.28333,12275
14.29167,11129
14.3,10079
14.30833,9123
14.31667,8256
14.325,7474
14.33333,6772
14.34167,6143
14.35,5583
14.35833,5085
14.36667,4644
14.375,4254
14.38333,3909
14.39167,3605
14.4,3336
14.40833,3099
14.41667,2891
14.425,2708
14.43333,2546
14.44167,2403
14.45,2276
14.45833,2164
14.46667,2064
14.475,1975
14.48333,1896
14.49167,1825
14.5,1762
14.50833,1705
14.51667,1654
14.525,1607
14.53333,1565
14.54167,1527
14.55,1492
14.55833,1460
14.56667,1431
14.575,1405
14.58333,1379
14.59167,1356
14.6,1335
14.60833,1315
14.61667,1296
14.625,1279
14.63333,1262
14.64167,1247
14.65,1233
14.65833,1219
14.66667,1206
14.675,1194
14.68333,1183
14.69167,1173
14.7,1163
14.70833,1153
14.71667,1144
14.725,1135
14.73333,1126
14.74167,1118
14.75,1111
14.75833,1103
14.76667,1096
14.775,1090
14.78333,1083
14.79167,1077
14.8,1071
14.80833,1066
14.81667,1060
14.825,1055
14.83333,1050
14.84167,1046
14.85,1042
14.85833,1038
14.86667,1034
14.875,1030
14.88333,1027
14.89167,1023
14.9,1020
14.90833,1016
14.91667,1013
14.925,1010
14.93333,1007
14.94167,1004
14.95,1001
14.95833,998
14.96667,995
14.975,993
14.98333,991
14.99167,989
15.0,986
15.00833,984
15.01667,982
15.025,980
15.03333,978
15.04167,977
15.05,975
15.05833,973
15.06667,971
15.075,969
15.08333,967
15.09167,966
15.1,964
15.10833,963
15.11667,961
15.125,960
15.13333,959
15.14167,957
15.15,956
15.15833,955
15.16667,953
15.175,952
15.18333,951
15.19167,950
15.2,949
15.20833,948
15.21667,947
15.225,946
15.23333,944
15.24167,943
15.25,941
15.25833,940
15.26667,939
15.275,938
15.28333,937
15.29167,936
15.3,935
15.30833,934
15.31667,933
15.325,932
15.33333,931
15.34167,930
15.35,928
15.35833,928
15.36667,927
15.375,926
15.38333,925
15.39167,924
15.4,923
15.40833,922
15.41667,921
15.425,920
15.43333,918
15.44167,917
15.45,916
15.45833,915
15.46667,914
15.475,913
15.48333,912
15.49167,911
15.5,910
15.50833,909
15.51667,908
15.525,907
15.53333,906
15.54167,906
15.55,905
15.55833,905
15.56667,904
15.575,903
15.58333,902
15.59167,900
15.6,899
15.60833,898
15.61667,897
15.625,896
15.63333,895
15.64167,894
15.65,893
15.65833,892
15.66667,891
15.675,890
15.68333,889
15.69167,888
15.7,887
15.70833,886
15.71667,885
15.725,884
15.73333,883
15.74167,882
15.75,881
15.75833,881
15.76667,880
15.775,879
15.78333,878
15.79167,877
15.8,876
15.80833,875
15.81667,874
15.825,874
15.83333,873
15.84167,872
15.85,871
15.85833,871
15.86667,870
15.875,869
15.88333,869
15.89167,868
15.9,867
15.90833,866
15.91667,865
15.925,865
15.93333,864
15.94167,863
15.95,863
15.95833,862
15.96667,861
15.975,861
15.98333,860
15.99167,859
16.0,858
16.00833,858
16.01667,857
16.025,857
16.03333,856
16.04167,856
16.05,855
16.05833,854
16.06667,853
16.075,853
16.08333,852
16.09167,851
16.1,850
16.10833,850
16.11667,849
16.125,848
16.13333,848
16.14167,847
16.15,847
16.15833,846
16.16667,846
16.175,845
16.18333,845
16.19167,845
16.2,844
16.20833,843
16.21667,842
16.225,842
16.23333,841
16.24167,841
16.25,840
16.25833,840
16.26667,839
16.275,839
16.28333,838
16.29167,838
16.3,837
16.30833,837
16.31667,837
16.325,836
16.33333,836
16.34167,835
16.35,834
16.35833,834
16.36667,833
16.375,832
16.38333,831
16.39167,831
16.4,830
16.40833,830
16.41667,829
16.425,829
16.43333,829
16.44167,828
16.45,828
16.45833,827
16.46667,827
16.475,826
16.48333,826
16.49167,826
16.5,825
16.50833,825
16.51667,824
16.525,824
16.53333,823
16.54167,823
16.55,823
16.55833,822
16.56667,822
16.575,821
16.58333,821
16.59167,820
16.6,820
16.60833,820
16.61667,819
16.625,818
16.63333,818
16.64167,818
16.65,818
16.65833,818
16.66667,817
16.675,817
16.68333,817
16.69167,816
16.7,816
16.70833,815
16.71667,815
16.725,815
16.73333,814
16.74167,814
16.75,814
16.75833,814
