time,signal
12.0,-407
12.00833,-404
12.01667,-401
12.025,-398
12.03333,-395
12.04167,-392
12.05,-389
12.05833,-386
12.06667,-383
12.075,-379
12.08333,-376
12.09167,-372
12.1,-368
12.10833,-365
12.11667,-361
12.125,-358
12.13333,-355
12.14167,-351
12.15,-347
12.15833,-343
12.16667,-339
12.175,-336
12.18333,-332
12.19167,-328
12.2,-324
12.20833,-320
12.21667,-316
12.225,-312
12.23333,-307
12.24167,-303
12.25,-299
12.25833,-295
12.26667,-291
12.275,-287
12.28333,-283
12.29167,-279
12.3,-276
12.30833,-272
12.31667,-268
12.325,-264
12.33333,-260
12.34167,-255
12.35,-252
12.35833,-247
12.36667,-243
12.375,-239
12.38333,-235
12.39167,-230
12.4,-226
12.40833,-222
12.41667,-217
12.425,-213
12.43333,-209
12.44167,-205
12.45,-200
12.45833,-196
12.46667,-191
12.475,-187
12.48333,-182
12.49167,-178
12.5,-173
12.50833,-168
12.51667,-163
12.525,-158
12.53333,-153
12.54167,-147
12.55,-141
12.55833,-135
12.56667,-129
12.575,-122
12.58333,-114
12.59167,-105
12.6,-95
12.60833,-84
12.61667,-71
12.625,-57
12.63333,-41
12.64167,-23
12.65,-4
12.65833,18
12.66667,43
12.675,71
12.68333,102
12.69167,136
12.7,172
12.70833,213
12.71667,257
12.725,305
12.73333,357
12.74167,413
12.75,473
12.75833,537
12.76667,606
12.775,680
12.78333,758
12.79167,840
12.8,927
12.80833,1019
12.81667,1115
12.825,1217
12.83333,1323
12.84167,1434
12.85,1550
12.85833,1671
12.86667,1797
12.875,1928
12.88333,2063
12.89167,2203
12.9,2348
12.90833,2498
12.91667,2653
12.925,2813
12.93333,2977
12.94167,3147
12.95,3320
12.95833,3499
12.96667,3682
12.975,3869
12.98333,4062
12.99167,4259
13.0,4460
13.00833,4667
13.01667,4877
13.025,5092
13.03333,5312
13.04167,5536
13.05,5764
13.05833,5996
13.06667,6233
13.075,6475
13.08333,6720
13.09167,6970
13.1,7225
13.10833,7485
13.11667,7750
13.125,8019
13.13333,8293
13.14167,8572
13.15,8857
13.15833,9147
13.16667,9443
13.175,9744
13.18333,10051
13.19167,10366
13.2,10686
13.20833,11014
13.21667,11350
13.225,11693
13.23333,12044
13.24167,12403
13.25,12771
13.25833,13147
13.26667,13533
13.275,13928
13.28333,14333
13.29167,14747
13.3,15171
13.30833,15605
13.31667,16048
13.325,16501
13.33333,16963
13.34167,17435
13.35,17915
13.35833,18405
13.36667,18902
13.375,19406
13.38333,19918
13.39167,20436
13.4,20960
13.40833,21489
13.41667,22023
13.425,22560
13.43333,23101
13.44167,23644
13.45,24190
13.45833,24736
13.46667,25282
13.475,25828
13.48333,26373
13.49167,26917
13.5,27460
13.50833,28000
13.51667,28538
13.525,29072
13.53333,29603
13.54167,30130
13.55,30653
13.55833,31172
13.56667,31687
13.575,32198
13.58333,32704
13.59167,33205
13.6,33702
13.60833,34195
13.61667,34684
13.625,35168
13.63333,35648
13.64167,36125
13.65,36598
13.65833,37067
13.66667,37533
13.675,37997
13.68333,38457
13.69167,38915
13.7,39371
13.70833,39825
13.71667,40277
13.725,40728
13.73333,41178
13.74167,41628
13.75,42077
13.75833,42527
13.76667,42977
13.775,43427
13.78333,43879
13.79167,44332
13.8,44788
13.80833,45245
13.81667,45705
13.825,46168
13.83333,46635
13.84167,47107
13.85,47582
13.85833,48061
13.86667,48545
13.875,49035
13.88333,49530
13.89167,50031
13.9,50539
13.90833,51053
13.91667,51573
13.925,52101
13.93333,52637
13.94167,53179
13.95,53730
13.95833,54289
13.96667,54855
13.975,55430
13.98333,56013
13.99167,56606
14.0,57207
14.00833,57817
14.01667,58436
14.025,59064
14.03333,59702
14.04167,60348
14.05,61004
14.05833,61670
14.06667,62345
14.075,63030
14.08333,63725
14.09167,64429
14.1,65143
14.10833,65866
14.11667,66599
14.125,67341
14.13333,68091
14.14167,68849
14.15,69612
14.15833,70379
14.16667,71146
14.175,71909
14.18333,72662
14.19167,73398
14.2,74109
14.20833,74785
14.21667,75417
14.225,75995
14.23333,76506
14.24167,76942
14.25,77294
14.25833,77552
14.26667,77710
14.275,77762
14.28333,77704
14.29167,77534
14.3,77249
14.30833,76851
14.31667,76340
14.325,75717
14.33333,74984
14.34167,74141
14.35,73191
14.35833,72133
14.36667,70969
14.375,69697
14.38333,68316
14.39167,66825
14.4,65222
14.40833,63507
14.41667,61680
14.425,59740
14.43333,57691
14.44167,55537
14.45,53284
14.45833,50940
14.46667,48518
14.475,46032
14.48333,43499
14.49167,40935
14.5,38362
14.50833,35798
14.51667,33266
14.525,30786
14.53333,28375
14.54167,26052
14.55,23831
14.55833,21725
14.56667,19742
14.575,17889
14.58333,16170
14.59167,14585
14.6,13134
14.60833,11811
14.61667,10613
14.625,9532
14.63333,8562
14.64167,7694
14.65,6920
14.65833,6232
14.66667,5622
14.675,5083
14.68333,4606
14.69167,4184
14.7,3813
14.70833,3485
14.71667,3196
14.725,2942
14.73333,2716
14.74167,2517
14.75,2340
14.75833,2183
14.76667,2043
14.775,1919
14.78333,1808
14.79167,1708
14.8,1619
14.80833,1538
14.81667,1465
14.825,1399
14.83333,1340
14.84167,1285
14.85,1235
14.85833,1189
14.86667,1147
14.875,1108
14.88333,1071
14.89167,1038
14.9,1007
14.90833,978
14.91667,951
14.925,925
14.93333,901
14.94167,878
14.95,857
14.95833,837
14.96667,818
14.975,799
14.98333,782
14.99167,766
15.0,751
15.00833,736
15.01667,722
15.025,709
15.03333,696
15.04167,684
15.05,672
15.05833,661
15.06667,650
15.075,639
15.08333,629
15.09167,619
15.1,610
15.10833,601
15.11667,593
15.125,585
15.13333,577
15.14167,569
15.15,562
15.15833,554
15.16667,547
15.175,541
15.18333,534
15.19167,528
15.2,522
15.20833,517
15.21667,511
