time,signal
12.0,-15
12.00833,-14
12.01667,-14
12.025,-14
12.03333,-14
12.04167,-14
12.05,-14
12.05833,-14
12.06667,-13
12.075,-13
12.08333,-13
12.09167,-13
12.1,-12
12.10833,-12
12.11667,-12
12.125,-12
12.13333,-12
12.14167,-12
12.15,-12
12.15833,-12
12.16667,-12
12.175,-12
12.18333,-12
12.19167,-11
12.2,-11
12.20833,-11
12.21667,-10
12.225,-10
12.23333,-9
12.24167,-9
12.25,-9
12.25833,-9
12.26667,-9
12.275,-9
12.28333,-8
12.29167,-8
12.3,-8
12.30833,-8
12.31667,-8
12.325,-8
12.33333,-8
12.34167,-7
12.35,-7
12.35833,-7
12.36667,-7
12.375,-8
12.38333,-7
12.39167,-7
12.4,-7
12.40833,-7
12.41667,-7
12.425,-7
12.43333,-7
12.44167,-6
12.45,-6
12.45833,-7
12.46667,-7
12.475,-7
12.48333,-7
12.49167,-6
12.5,-6
12.50833,-6
12.51667,-6
12.525,-6
12.53333,-6
12.54167,-7
12.55,-7
12.55833,-7
12.56667,-6
12.575,-6
12.58333,-6
12.59167,-6
12.6,-6
12.60833,-6
12.61667,-5
12.625,-5
12.63333,-5
12.64167,-5
12.65,-5
12.65833,-4
12.66667,-4
12.675,-5
12.68333,-5
12.69167,-5
12.7,-5
12.70833,-5
12.71667,-5
12.725,-5
12.73333,-5
12.74167,-5
12.75,-5
12.75833,-5
12.76667,-5
12.775,-5
12.78333,-5
12.79167,-5
12.8,-5
12.80833,-5
12.81667,-5
12.825,-5
12.83333,-4
12.84167,-4
12.85,-4
12.85833,-4
12.86667,-4
12.875,-4
12.88333,-4
12.89167,-4
12.9,-4
12.90833,-4
12.91667,-4
12.925,-4
12.93333,-4
12.94167,-4
12.95,-4
12.95833,-4
12.96667,-4
12.975,-4
12.98333,-3
12.99167,-3
13.0,-3
13.00833,-3
13.01667,-3
13.025,-3
13.03333,-3
13.04167,-3
13.05,-3
13.05833,-2
13.06667,-2
13.075,-3
13.08333,-3
13.09167,-2
13.1,-2
13.10833,-1
13.11667,0
13.125,0
13.13333,1
13.14167,3
13.15,4
13.15833,6
13.16667,9
13.175,12
13.18333,17
13.19167,22
13.2,29
13.20833,36
13.21667,45
13.225,57
13.23333,70
13.24167,86
13.25,105
13.25833,128
13.26667,154
13.275,185
13.28333,220
13.29167,261
13.3,308
13.30833,361
13.31667,422
13.325,490
13.33333,566
13.34167,650
13.35,743
13.35833,846
13.36667,958
13.375,1081
13.38333,1214
13.39167,1358
13.4,1512
13.40833,1678
13.41667,1853
13.425,2040
13.43333,2236
13.44167,2442
13.45,2657
13.45833,2880
13.46667,3110
13.475,3347
13.48333,3590
13.49167,3837
13.5,4089
13.50833,4342
13.51667,4597
13.525,4851
13.53333,5104
13.54167,5354
13.55,5600
13.55833,5841
13.56667,6075
13.575,6301
13.58333,6519
13.59167,6726
13.6,6922
13.60833,7106
13.61667,7276
13.625,7433
13.63333,7575
13.64167,7702
13.65,7813
13.65833,7908
13.66667,7986
13.675,8046
13.68333,8090
13.69167,8117
13.7,8126
13.70833,8119
13.71667,8095
13.725,8055
13.73333,7998
13.74167,7927
13.75,7840
13.75833,7739
13.76667,7626
13.775,7499
13.78333,7361
13.79167,7211
13.8,7052
